nom_programme;numero;rue;cp;ville
RÉSIDENCE MATTEOTI;;RUE MATTEOTTI ENT.6;42300;ROANNE
R.A.T.;9;RUE SAINT CLAUDE;42300;ROANNE
NOYON TROYON;28;AVENUE DE NOYON;42300;MABLY
RÉSIDENCE BAPAUME ARSENAL;2;PLACE PAUL GAUGUIN;42300;ROANNE
LES TUILERIES 1;30;RUE M.LUTHER KING ENT 2;42300;MABLY
RESID .BEAUSEJOUR;;BEAUSEJOUR ALL. DE BEAUSEJOUR;42300;ROANNE
RES. LA POLLIA;48;RUE DE LA GARE;42720;POUILLY S/CHARLIEU
RÉSIDENCE LES ALLOGNES;93;ROUTE DE LA GONNE;42750;MARS
L.VALORGE;8;BD LOUIS VALORGE;42190;CHARLIEU
J.MOREL;2;RUE JEAN MOREL;42190;CHARLIEU
RÉSIDENCE JEAN PUILLET;40;CHEMIN JEAN PUILLET;42460;LE CERGNE
RÉSIDENCE GEORGES PLASSE;35;RUE GEORGES PLASSE ENT 3;42300;ROANNE
RÉSIDENCE FUYANT D OUDAN;8;AVENUE DU GRAND MARAIS;42300;ROANNE
RÉSIDENCE GAI SEJOUR;11;IMPASSE DES RESIDENCES;42630;ST VICTOR SUR RHINS
RÉSIDENCE RIORGES-VILLAGE;67;RUE IRENE JOLIOT CURIE;42153;RIORGES
RÉSIDENCE DU GAND ;20;CHEMIN DU GAND;42370;ST SYMPHORIEN/LAY
COMBRE;66;RUE DE LA MAIRIE;42840;COMBRE
RÉSIDENCE LES MOULINS DU RENAISON;3;RUE DU MOULIN PAILLASSON;42300;ROANNE
MULSANT;24;RUE MULSANT;42300;ROANNE
R.FERDINAND BUISSON;35;RUE FERDINAND BUISSON;42300;ROANNE
RÉSIDENCE LE MARNANTON;36;RTE D AMPLEPUIS;42630;ST VICTOR SUR RHINS
14 BIS RUE MARCEAU;14;BIS RUE MARCEAU;42300;ROANNE
IMP.VARENNES;;IMPASSE DES VARENNES;42840;MONTAGNY
ALLEE E.GIRARD;23;ALLEE ERNEST GIRARD;42153;RIORGES
RÉSIDENCE LES TISSEURS;65;RUE DE LYON;42540;ST JUST LA PENDUE
RÉSIDENCE LA PERGOLA;34;ALLEE IRENE JOLIOT CURIE;42153;RIORGES
71 RUE GALLIENI;71;AVENUE GALLIENI;42153;RIORGES
MARGUERITE;70;RUE ST ALBAN;42300;ROANNE
21 RUE GALLIENI;21;AVENUE GALLIENI;42153;RIORGES
RÉSIDENCE LE MARCLET;179;RUE DE LA BLANCHISSERIE;42153;RIORGES
J.B. CLEMENT;9;RUE FONTQUENTIN ENT 10;42300;ROANNE
J.B. CLEMENT;12;BD J.B. CLEMENT ENT 18;42300;ROANNE
J.B. CLEMENT;51;B JB CLEMENT E11;42300;ROANNE
J.B. CLEMENT;37;BD J.B. CLEMENT;42300;ROANNE
